Overriding config with config/gpt3-small-like-withdrop32b128b.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = True # override via command line if you like
wandb_project = 'data309gptnew'
wandb_run_name = 'Gpt3likewithdrop32batch128block'

dataset = 'lyrics'
gradient_accumulation_steps = 1
batch_size = 32 # TO BE PROPERLY DETERMINED
block_size = 128 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 12
n_head = 12
n_embd = 768
dropout = 0.1

learning_rate = 6.0e-4 # with baby networks can afford to go a bit higher
max_iters = 4000
lr_decay_iters = 4000# make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda' 
# compile = False # do not torch compile the model

Overriding: device = cuda
Overriding: compile = True
tokens per iteration will be: 4,096
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 123,666,432 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
iter 78: loss 5.7038, time 167.98ms, mfu 5.86%
iter 79: loss 5.4248, time 168.27ms, mfu 5.86%
iter 80: loss 5.4814, time 168.82ms, mfu 5.86%
iter 81: loss 5.5991, time 169.61ms, mfu 5.86%
iter 82: loss 5.4694, time 171.60ms, mfu 5.85%
iter 83: loss 5.2446, time 166.19ms, mfu 5.87%
iter 84: loss 5.1598, time 169.13ms, mfu 5.87%
iter 85: loss 5.2747, time 168.91ms, mfu 5.87%
iter 86: loss 5.5738, time 169.20ms, mfu 5.87%
iter 87: loss 5.4900, time 167.06ms, mfu 5.87%
iter 88: loss 5.4620, time 171.71ms, mfu 5.86%
iter 89: loss 5.1374, time 166.38ms, mfu 5.87%
iter 90: loss 5.3069, time 169.23ms, mfu 5.87%
iter 91: loss 5.1593, time 173.23ms, mfu 5.86%
iter 92: loss 5.1094, time 165.06ms, mfu 5.87%
iter 93: loss 5.3357, time 171.10ms, mfu 5.87%
iter 94: loss 5.5112, time 171.65ms, mfu 5.86%
iter 95: loss 5.6502, time 161.76ms, mfu 5.88%
iter 96: loss 5.2937, time 173.26ms, mfu 5.87%
iter 97: loss 5.3682, time 169.86ms, mfu 5.87%
iter 98: loss 5.4497, time 168.85ms, mfu 5.87%
iter 99: loss 5.2458, time 163.78ms, mfu 5.89%
iter 100: loss 5.3309, time 168.77ms, mfu 5.89%
iter 101: loss 5.4172, time 172.69ms, mfu 5.87%
iter 102: loss 5.4543, time 168.98ms, mfu 5.87%
iter 103: loss 5.3146, time 169.42ms, mfu 5.87%
iter 104: loss 5.5386, time 170.35ms, mfu 5.87%
iter 105: loss 5.1816, time 170.48ms, mfu 5.86%
iter 106: loss 5.1645, time 165.83ms, mfu 5.87%
iter 107: loss 5.5169, time 170.57ms, mfu 5.87%
iter 108: loss 5.1704, time 170.18ms, mfu 5.86%
iter 109: loss 5.0973, time 170.46ms, mfu 5.86%
iter 110: loss 5.1259, time 170.03ms, mfu 5.86%
iter 111: loss 5.3207, time 166.26ms, mfu 5.87%
iter 112: loss 5.3545, time 168.16ms, mfu 5.87%
iter 113: loss 5.4130, time 170.31ms, mfu 5.87%
iter 114: loss 5.2070, time 170.35ms, mfu 5.86%
iter 115: loss 5.1812, time 166.47ms, mfu 5.87%
iter 116: loss 5.2110, time 170.79ms, mfu 5.87%
iter 117: loss 5.3015, time 169.21ms, mfu 5.87%
iter 118: loss 5.2464, time 170.51ms, mfu 5.86%
iter 119: loss 5.1981, time 169.13ms, mfu 5.86%
iter 120: loss 5.1683, time 168.69ms, mfu 5.86%
iter 121: loss 4.9145, time 169.08ms, mfu 5.86%
iter 122: loss 5.4755, time 169.37ms, mfu 5.86%
iter 123: loss 5.2385, time 169.87ms, mfu 5.86%
iter 124: loss 5.2467, time 170.94ms, mfu 5.85%
iter 125: loss 5.0725, time 164.25ms, mfu 5.87%
iter 126: loss 5.0001, time 173.25ms, mfu 5.86%
iter 127: loss 5.2912, time 169.39ms, mfu 5.86%
iter 128: loss 5.1525, time 171.65ms, mfu 5.85%
iter 129: loss 5.3499, time 170.26ms, mfu 5.85%
iter 130: loss 5.3322, time 169.16ms, mfu 5.85%
iter 131: loss 5.3175, time 163.27ms, mfu 5.87%
iter 132: loss 4.8715, time 173.30ms, mfu 5.86%
iter 133: loss 5.2133, time 169.93ms, mfu 5.86%
iter 134: loss 4.9711, time 169.03ms, mfu 5.86%
iter 135: loss 5.3977, time 165.46ms, mfu 5.87%
iter 136: loss 5.4275, time 172.53ms, mfu 5.86%
iter 137: loss 5.1678, time 169.99ms, mfu 5.86%
iter 138: loss 4.7990, time 170.22ms, mfu 5.85%
iter 139: loss 5.0675, time 168.70ms, mfu 5.86%
iter 140: loss 5.2409, time 164.78ms, mfu 5.87%
iter 141: loss 5.2491, time 173.72ms, mfu 5.86%
iter 142: loss 5.1570, time 169.39ms, mfu 5.86%
iter 143: loss 5.0692, time 170.20ms, mfu 5.85%
iter 144: loss 5.2559, time 169.25ms, mfu 5.85%
iter 145: loss 4.9254, time 163.99ms, mfu 5.87%
iter 146: loss 5.3222, time 170.93ms, mfu 5.87%
iter 147: loss 5.0272, time 174.53ms, mfu 5.85%
iter 148: loss 5.1098, time 170.16ms, mfu 5.85%
iter 149: loss 5.0457, time 166.86ms, mfu 5.86%
iter 150: loss 5.1386, time 169.92ms, mfu 5.85%
iter 151: loss 4.9400, time 168.62ms, mfu 5.86%
iter 152: loss 5.1198, time 170.43ms, mfu 5.85%
iter 153: loss 4.9545, time 170.61ms, mfu 5.85%
iter 154: loss 4.8222, time 165.00ms, mfu 5.87%
iter 155: loss 4.9710, time 171.18ms, mfu 5.86%
iter 156: loss 4.9413, time 166.30ms, mfu 5.87%
iter 157: loss 4.9067, time 171.35ms, mfu 5.86%
iter 158: loss 5.0133, time 166.76ms, mfu 5.87%
iter 159: loss 5.0817, time 174.03ms, mfu 5.85%
iter 160: loss 5.2100, time 168.69ms, mfu 5.86%
iter 161: loss 4.9227, time 169.51ms, mfu 5.86%
iter 162: loss 5.1564, time 170.74ms, mfu 5.85%
iter 163: loss 5.0758, time 169.40ms, mfu 5.85%
iter 164: loss 5.2339, time 164.35ms, mfu 5.87%
iter 165: loss 4.9681, time 171.90ms, mfu 5.86%
iter 166: loss 5.1961, time 172.21ms, mfu 5.85%
iter 167: loss 5.0022, time 170.99ms, mfu 5.85%
iter 168: loss 5.0373, time 168.70ms, mfu 5.85%
iter 169: loss 5.0153, time 163.37ms, mfu 5.87%
iter 170: loss 5.0693, time 172.16ms, mfu 5.86%
iter 171: loss 5.0410, time 171.31ms, mfu 5.85%
iter 172: loss 5.1527, time 170.71ms, mfu 5.85%
iter 173: loss 5.0275, time 168.11ms, mfu 5.85%
iter 174: loss 5.0719, time 164.91ms, mfu 5.87%
iter 175: loss 5.0556, time 175.30ms, mfu 5.85%
iter 176: loss 4.8163, time 168.98ms, mfu 5.85%
iter 177: loss 4.8574, time 170.09ms, mfu 5.85%
iter 178: loss 4.7385, time 168.38ms, mfu 5.85%
iter 179: loss 4.9077, time 169.36ms, mfu 5.85%
iter 180: loss 4.8550, time 168.84ms, mfu 5.86%
iter 181: loss 4.7964, time 169.96ms, mfu 5.85%
iter 182: loss 4.8261, time 170.57ms, mfu 5.85%
iter 183: loss 5.0974, time 170.83ms, mfu 5.85%
iter 184: loss 4.8990, time 163.30ms, mfu 5.87%
iter 185: loss 4.9250, time 173.59ms, mfu 5.85%
iter 186: loss 5.2140, time 172.47ms, mfu 5.84%
iter 187: loss 5.0015, time 169.44ms, mfu 5.84%
iter 188: loss 5.0357, time 165.23ms, mfu 5.86%
iter 189: loss 4.9895, time 167.35ms, mfu 5.87%
iter 190: loss 5.0482, time 171.65ms, mfu 5.86%
iter 191: loss 5.0692, time 172.67ms, mfu 5.85%
iter 192: loss 4.9338, time 169.56ms, mfu 5.85%
iter 193: loss 4.9180, time 164.36ms, mfu 5.87%
iter 194: loss 5.1148, time 173.22ms, mfu 5.85%
iter 195: loss 4.7774, time 165.70ms, mfu 5.87%
iter 196: loss 5.0480, time 173.87ms, mfu 5.85%
iter 197: loss 5.0516, time 170.48ms, mfu 5.85%
iter 198: loss 4.9495, time 167.01ms, mfu 5.86%
iter 199: loss 5.0047, time 172.15ms, mfu 5.85%
iter 200: loss 4.9521, time 169.14ms, mfu 5.85%
iter 201: loss 4.9602, time 167.50ms, mfu 5.86%
iter 202: loss 5.1312, time 172.63ms, mfu 5.85%
iter 203: loss 5.0178, time 170.04ms, mfu 5.84%
iter 204: loss 4.9592, time 169.43ms, mfu 5.85%
iter 205: loss 4.8533, time 172.34ms, mfu 5.84%
iter 206: loss 4.9707, time 166.81ms, mfu 5.85%
iter 207: loss 5.1740, time 168.68ms, mfu 5.85%
iter 208: loss 5.1243, time 170.11ms, mfu 5.85%
iter 209: loss 5.1226, time 170.96ms, mfu 5.84%
iter 210: loss 5.0303, time 165.23ms, mfu 5.86%
iter 211: loss 4.9130, time 170.79ms, mfu 5.86%
iter 212: loss 5.2867, time 170.42ms, mfu 5.85%
iter 213: loss 5.0360, time 169.82ms, mfu 5.85%
iter 214: loss 5.2140, time 170.24ms, mfu 5.85%
iter 215: loss 5.2452, time 169.79ms, mfu 5.85%
iter 216: loss 4.8231, time 163.86ms, mfu 5.87%
iter 217: loss 5.0585, time 169.08ms, mfu 5.87%
iter 218: loss 4.8138, time 173.01ms, mfu 5.85%
iter 219: loss 4.8657, time 170.50ms, mfu 5.85%
iter 220: loss 5.0316, time 168.26ms, mfu 5.86%
iter 221: loss 4.6760, time 171.70ms, mfu 5.85%
iter 222: loss 4.7986, time 168.96ms, mfu 5.85%
iter 223: loss 4.9863, time 169.78ms, mfu 5.85%
iter 224: loss 4.7669, time 173.27ms, mfu 5.84%
iter 225: loss 5.0835, time 169.15ms, mfu 5.84%
iter 226: loss 5.1931, time 168.71ms, mfu 5.84%
iter 227: loss 4.9505, time 170.17ms, mfu 5.84%
iter 228: loss 4.8389, time 163.42ms, mfu 5.87%
iter 229: loss 4.9164, time 170.13ms, mfu 5.86%
iter 230: loss 5.0525, time 171.29ms, mfu 5.86%
iter 231: loss 4.9047, time 171.86ms, mfu 5.85%
iter 232: loss 4.7470, time 172.45ms, mfu 5.84%
iter 233: loss 4.9608, time 167.59ms, mfu 5.85%
iter 234: loss 5.1299, time 171.40ms, mfu 5.84%
iter 235: loss 4.9388, time 167.90ms, mfu 5.85%
iter 236: loss 4.8329, time 169.13ms, mfu 5.85%
iter 237: loss 4.9093, time 170.22ms, mfu 5.85%
iter 238: loss 4.8294, time 171.56ms, mfu 5.84%
iter 239: loss 4.8944, time 165.12ms, mfu 5.86%
iter 240: loss 4.9821, time 172.25ms, mfu 5.85%
iter 241: loss 4.9759, time 167.92ms, mfu 5.85%
iter 242: loss 5.1071, time 171.17ms, mfu 5.85%
iter 243: loss 4.8830, time 172.51ms, mfu 5.84%
iter 244: loss 4.6564, time 171.11ms, mfu 5.83%
iter 245: loss 5.0028, time 168.47ms, mfu 5.84%
iter 246: loss 5.2085, time 166.52ms, mfu 5.85%
iter 247: loss 4.8869, time 171.14ms, mfu 5.85%
iter 248: loss 4.9662, time 168.70ms, mfu 5.85%
iter 249: loss 5.1860, time 170.41ms, mfu 5.85%
step 250: train loss 4.8824, val loss 4.7104
saving checkpoint to out
iter 250: loss 4.8700, time 2955.63ms, mfu 5.30%
iter 251: loss 5.0807, time 194.57ms, mfu 5.28%
iter 252: loss 4.7841, time 168.58ms, mfu 5.34%
iter 253: loss 5.1713, time 171.11ms, mfu 5.38%
iter 254: loss 4.8860, time 163.97ms, mfu 5.45%
iter 255: loss 4.7315, time 173.14ms, mfu 5.48%
iter 256: loss 5.0507, time 169.45ms, mfu 5.52%
iter 257: loss 4.8835, time 171.29ms, mfu 5.54%
iter 258: loss 4.7759, time 168.15ms, mfu 5.58%
iter 259: loss 4.6597, time 168.17ms, mfu 5.61%
iter 260: loss 4.7012, time 172.05ms, mfu 5.63%
iter 261: loss 4.6686, time 169.40ms, mfu 5.65%
iter 262: loss 4.7584, time 170.50ms, mfu 5.67%
iter 263: loss 4.9255, time 170.67ms, mfu 5.68%
iter 264: loss 4.8362, time 169.57ms, mfu 5.70%
iter 265: loss 4.8048, time 171.93ms, mfu 5.71%
iter 266: loss 4.6806, time 168.78ms, mfu 5.72%
iter 267: loss 4.8214, time 167.63ms, mfu 5.74%
iter 268: loss 4.9317, time 168.92ms, mfu 5.75%
iter 269: loss 4.9135, time 170.51ms, mfu 5.76%
iter 270: loss 4.8553, time 165.44ms, mfu 5.78%
iter 271: loss 4.8623, time 172.33ms, mfu 5.78%
iter 272: loss 4.8825, time 167.34ms, mfu 5.80%
iter 273: loss 4.8287, time 173.00ms, mfu 5.79%
iter 274: loss 4.9072, time 169.69ms, mfu 5.80%
iter 275: loss 4.8717, time 170.98ms, mfu 5.80%
iter 276: loss 4.9164, time 166.13ms, mfu 5.81%
iter 277: loss 4.7972, time 171.17ms, mfu 5.81%
iter 278: loss 4.8370, time 169.33ms, mfu 5.82%
iter 279: loss 4.8676, time 169.89ms, mfu 5.82%
iter 280: loss 4.6113, time 168.93ms, mfu 5.82%
iter 281: loss 4.7703, time 164.40ms, mfu 5.85%
iter 282: loss 4.9261, time 170.32ms, mfu 5.84%
iter 283: loss 4.6759, time 172.01ms, mfu 5.84%
iter 284: loss 5.0056, time 173.50ms, mfu 5.82%
iter 285: loss 4.6568, time 170.40ms, mfu 5.82%
iter 286: loss 4.7963, time 167.98ms, mfu 5.83%
iter 287: loss 4.8858, time 165.16ms, mfu 5.85%
iter 288: loss 4.6099, time 173.93ms, mfu 5.83%
iter 289: loss 4.7675, time 170.01ms, mfu 5.84%
iter 290: loss 4.8020, time 170.48ms, mfu 5.83%
iter 291: loss 4.7199, time 169.44ms, mfu 5.84%
iter 292: loss 4.9044, time 164.52ms, mfu 5.86%
iter 293: loss 4.9743, time 170.47ms, mfu 5.85%
iter 294: loss 4.9311, time 172.62ms, mfu 5.84%
iter 295: loss 4.6376, time 169.94ms, mfu 5.84%
iter 296: loss 4.8537, time 169.79ms, mfu 5.84%
iter 297: loss 4.9234, time 168.89ms, mfu 5.84%
iter 298: loss 4.5979, time 169.57ms, mfu 5.84%
iter 299: loss 4.8442, time 165.52ms, mfu 5.86%
iter 300: loss 4.8210, time 172.44ms, mfu 5.85%
iter 301: loss 4.8415, time 170.64ms, mfu 5.85%
iter 302: loss 4.9181, time 170.80ms, mfu 5.84%
iter 303: loss 4.7957, time 169.89ms, mfu 5.84%
iter 304: loss 4.8406, time 170.57ms, mfu 5.84%
iter 305: loss 4.6079, time 168.61ms, mfu 5.84%
iter 306: loss 4.8872, time 168.64ms, mfu 5.85%
iter 307: loss 5.0333, time 167.28ms, mfu 5.86%
iter 308: loss 4.7638, time 173.64ms, mfu 5.84%
iter 309: loss 4.6371, time 168.79ms, mfu 5.85%
iter 310: loss 4.7462, time 169.47ms, mfu 5.85%
iter 311: loss 4.7257, time 168.73ms, mfu 5.85%
iter 312: loss 4.5976, time 171.99ms, mfu 5.84%
iter 313: loss 4.7098, time 170.54ms, mfu 5.84%
iter 314: loss 4.6756, time 169.91ms, mfu 5.84%
iter 315: loss 4.6692, time 162.96ms, mfu 5.86%
iter 316: loss 4.8638, time 173.55ms, mfu 5.85%
iter 317: loss 4.8958, time 169.28ms, mfu 5.85%
iter 318: loss 4.8575, time 165.21ms, mfu 5.87%
iter 319: loss 4.7348, time 176.68ms, mfu 5.84%
iter 320: loss 4.7042, time 163.73ms, mfu 5.86%
iter 321: loss 4.8374, time 173.88ms, mfu 5.85%
iter 322: loss 4.6247, time 167.44ms, mfu 5.85%
iter 323: loss 4.6565, time 174.58ms, mfu 5.84%
iter 324: loss 4.6292, time 170.63ms, mfu 5.84%
iter 325: loss 4.6863, time 168.55ms, mfu 5.84%
iter 326: loss 4.7181, time 166.75ms, mfu 5.85%
iter 327: loss 4.8444, time 171.64ms, mfu 5.84%
iter 328: loss 4.8148, time 169.78ms, mfu 5.84%
iter 329: loss 4.6440, time 168.53ms, mfu 5.85%
iter 330: loss 4.8809, time 164.80ms, mfu 5.87%
iter 331: loss 4.5499, time 176.17ms, mfu 5.84%
iter 332: loss 4.9159, time 169.70ms, mfu 5.84%
iter 333: loss 4.7275, time 169.04ms, mfu 5.85%
iter 334: loss 4.7887, time 170.29ms, mfu 5.84%
iter 335: loss 4.7234, time 170.54ms, mfu 5.84%
iter 336: loss 4.7221, time 164.70ms, mfu 5.86%
iter 337: loss 4.7265, time 175.54ms, mfu 5.84%
iter 338: loss 4.8450, time 163.49ms, mfu 5.86%
iter 339: loss 4.7609, time 172.60ms, mfu 5.85%
iter 340: loss 4.8800, time 171.88ms, mfu 5.84%
iter 341: loss 4.9366, time 171.42ms, mfu 5.84%
iter 342: loss 4.7089, time 171.01ms, mfu 5.83%
iter 343: loss 4.6342, time 170.54ms, mfu 5.83%
iter 344: loss 4.7647, time 166.29ms, mfu 5.84%
iter 345: loss 4.6654, time 169.87ms, mfu 5.84%
iter 346: loss 4.8797, time 169.93ms, mfu 5.84%
iter 347: loss 5.0022, time 170.98ms, mfu 5.84%
iter 348: loss 4.5997, time 169.75ms, mfu 5.84%
iter 349: loss 4.8519, time 169.19ms, mfu 5.84%
iter 350: loss 4.7496, time 168.85ms, mfu 5.85%
iter 351: loss 4.9909, time 169.38ms, mfu 5.85%
iter 352: loss 4.6985, time 169.68ms, mfu 5.85%
iter 353: loss 4.6730, time 168.05ms, mfu 5.85%
iter 354: loss 4.5626, time 167.62ms, mfu 5.86%
iter 355: loss 4.9649, time 176.55ms, mfu 5.84%
iter 356: loss 4.5014, time 165.79ms, mfu 5.85%
iter 357: loss 4.7621, time 171.52ms, mfu 5.84%
iter 358: loss 4.9253, time 170.35ms, mfu 5.84%
iter 359: loss 4.7840, time 170.73ms, mfu 5.84%
iter 360: loss 4.8055, time 167.77ms, mfu 5.85%
iter 361: loss 4.6980, time 173.53ms, mfu 5.83%
iter 362: loss 4.5728, time 167.04ms, mfu 5.84%
iter 363: loss 4.5181, time 171.31ms, mfu 5.84%
iter 364: loss 4.7951, time 167.05ms, mfu 5.85%
iter 365: loss 4.7300, time 166.73ms, mfu 5.86%
iter 366: loss 4.6474, time 168.46ms, mfu 5.86%
iter 367: loss 4.9090, time 177.49ms, mfu 5.83%
iter 368: loss 4.8389, time 164.67ms, mfu 5.85%
iter 369: loss 4.7370, time 174.10ms, mfu 5.84%
iter 370: loss 4.6725, time 170.09ms, mfu 5.84%
iter 371: loss 4.6208, time 169.65ms, mfu 5.84%
iter 372: loss 4.7045, time 169.85ms, mfu 5.84%
iter 373: loss 4.6347, time 171.49ms, mfu 5.83%
iter 374: loss 4.8338, time 167.09ms, mfu 5.84%
iter 375: loss 4.9554, time 171.38ms, mfu 5.84%
iter 376: loss 4.6876, time 169.33ms, mfu 5.84%
iter 377: loss 4.3982, time 168.85ms, mfu 5.84%
iter 378: loss 4.8093, time 169.12ms, mfu 5.85%
iter 379: loss 4.9803, time 171.44ms, mfu 5.84%
iter 380: loss 4.6724, time 174.57ms, mfu 5.82%
iter 381: loss 4.9534, time 169.19ms, mfu 5.83%
iter 382: loss 4.7529, time 167.78ms, mfu 5.84%
iter 383: loss 4.5703, time 165.79ms, mfu 5.85%
iter 384: loss 4.6790, time 170.89ms, mfu 5.85%
iter 385: loss 4.9118, time 172.70ms, mfu 5.84%
iter 386: loss 4.8075, time 171.62ms, mfu 5.83%
iter 387: loss 4.4710, time 171.96ms, mfu 5.82%
iter 388: loss 5.0736, time 170.43ms, mfu 5.82%
iter 389: loss 4.6864, time 163.74ms, mfu 5.85%
iter 390: loss 4.6707, time 173.52ms, mfu 5.83%
iter 391: loss 4.6323, time 171.52ms, mfu 5.83%
iter 392: loss 4.9316, time 170.11ms, mfu 5.83%
iter 393: loss 4.6741, time 170.38ms, mfu 5.83%
iter 394: loss 4.8529, time 171.49ms, mfu 5.82%
iter 395: loss 4.4223, time 170.07ms, mfu 5.83%
iter 396: loss 4.4510, time 170.69ms, mfu 5.82%
iter 397: loss 4.8793, time 163.47ms, mfu 5.85%
iter 398: loss 4.6042, time 172.94ms, mfu 5.84%
iter 399: loss 4.9210, time 172.10ms, mfu 5.83%
iter 400: loss 4.7151, time 170.72ms, mfu 5.83%
iter 401: loss 4.6455, time 168.41ms, mfu 5.83%
iter 402: loss 4.5383, time 172.21ms, mfu 5.83%
iter 403: loss 4.7121, time 164.95ms, mfu 5.85%
iter 404: loss 4.4980, time 173.96ms, mfu 5.83%
iter 405: loss 4.6418, time 169.73ms, mfu 5.83%
iter 406: loss 4.7798, time 170.87ms, mfu 5.83%
iter 407: loss 4.7182, time 169.76ms, mfu 5.83%
iter 408: loss 4.8478, time 170.54ms, mfu 5.83%
iter 409: loss 4.5393, time 171.91ms, mfu 5.82%
iter 410: loss 4.5481, time 171.05ms, mfu 5.82%
iter 411: loss 4.7858, time 170.50ms, mfu 5.82%
