Overriding config with config/gpt3-small-like-12b32b.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = True # override via command line if you like
wandb_project = 'data309gptnew'
wandb_run_name = 'GPT3-small-like12block32batch'

dataset = 'lyrics'
gradient_accumulation_steps = 1
batch_size = 12 # rough estimate  of the number of tokens in a sentence
block_size = 32 #estimate of the number of lines in a pop song

# baby GPT model :)
n_layer = 12
n_head = 12
n_embd = 768
dropout = 0.0

learning_rate = 6.0e-4 # with baby networks can afford to go a bit higher
max_iters = 4000
lr_decay_iters = 4000# make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda' 
# compile = False # do not torch compile the model

Overriding: device = cuda
Overriding: compile = True
tokens per iteration will be: 384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 123,592,704 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
iter 78: loss 6.3513, time 116.05ms, mfu 0.80%
iter 79: loss 6.5306, time 116.45ms, mfu 0.80%
iter 80: loss 6.0162, time 115.71ms, mfu 0.80%
iter 81: loss 6.3089, time 115.19ms, mfu 0.80%
iter 82: loss 6.2533, time 116.57ms, mfu 0.80%
iter 83: loss 6.6947, time 113.11ms, mfu 0.80%
iter 84: loss 6.2762, time 116.22ms, mfu 0.80%
iter 85: loss 5.9585, time 111.34ms, mfu 0.80%
iter 86: loss 6.0574, time 115.15ms, mfu 0.80%
iter 87: loss 5.9554, time 109.25ms, mfu 0.80%
iter 88: loss 5.8551, time 115.32ms, mfu 0.80%
iter 89: loss 6.2252, time 116.89ms, mfu 0.80%
iter 90: loss 6.1265, time 109.70ms, mfu 0.81%
iter 91: loss 5.8934, time 110.92ms, mfu 0.81%
iter 92: loss 5.7937, time 110.31ms, mfu 0.81%
iter 93: loss 6.2528, time 113.48ms, mfu 0.81%
iter 94: loss 5.9504, time 111.27ms, mfu 0.81%
iter 95: loss 5.7650, time 116.81ms, mfu 0.81%
iter 96: loss 6.2122, time 111.16ms, mfu 0.81%
iter 97: loss 5.9198, time 114.61ms, mfu 0.81%
iter 98: loss 5.8628, time 112.50ms, mfu 0.81%
iter 99: loss 6.4364, time 116.79ms, mfu 0.81%
iter 100: loss 6.6308, time 111.85ms, mfu 0.81%
iter 101: loss 6.2979, time 115.33ms, mfu 0.81%
iter 102: loss 6.5306, time 116.44ms, mfu 0.81%
iter 103: loss 6.3420, time 112.61ms, mfu 0.81%
iter 104: loss 6.1945, time 116.52ms, mfu 0.80%
iter 105: loss 6.3887, time 112.98ms, mfu 0.80%
iter 106: loss 6.0224, time 113.14ms, mfu 0.81%
iter 107: loss 5.9815, time 113.31ms, mfu 0.81%
iter 108: loss 5.9910, time 115.22ms, mfu 0.80%
iter 109: loss 6.2545, time 115.02ms, mfu 0.80%
iter 110: loss 6.2327, time 112.48ms, mfu 0.81%
iter 111: loss 5.9866, time 116.55ms, mfu 0.80%
iter 112: loss 6.0690, time 115.40ms, mfu 0.80%
iter 113: loss 5.9995, time 110.65ms, mfu 0.81%
iter 114: loss 6.0828, time 116.31ms, mfu 0.80%
iter 115: loss 6.3971, time 114.43ms, mfu 0.80%
iter 116: loss 6.0111, time 113.27ms, mfu 0.80%
iter 117: loss 5.8530, time 115.31ms, mfu 0.80%
iter 118: loss 5.5217, time 112.76ms, mfu 0.80%
iter 119: loss 5.7289, time 115.67ms, mfu 0.80%
iter 120: loss 6.2388, time 116.78ms, mfu 0.80%
iter 121: loss 5.6500, time 115.13ms, mfu 0.80%
iter 122: loss 6.0025, time 116.90ms, mfu 0.80%
iter 123: loss 5.9083, time 108.43ms, mfu 0.80%
iter 124: loss 5.6263, time 112.91ms, mfu 0.80%
iter 125: loss 6.2237, time 110.87ms, mfu 0.81%
iter 126: loss 5.3217, time 110.30ms, mfu 0.81%
iter 127: loss 6.2894, time 115.44ms, mfu 0.81%
iter 128: loss 5.9074, time 116.18ms, mfu 0.81%
iter 129: loss 5.7766, time 115.11ms, mfu 0.81%
iter 130: loss 6.1990, time 114.06ms, mfu 0.80%
iter 131: loss 5.3487, time 115.49ms, mfu 0.80%
iter 132: loss 5.8388, time 111.99ms, mfu 0.81%
iter 133: loss 6.2435, time 109.68ms, mfu 0.81%
iter 134: loss 6.2232, time 112.80ms, mfu 0.81%
iter 135: loss 5.8791, time 113.68ms, mfu 0.81%
iter 136: loss 6.4541, time 116.86ms, mfu 0.81%
iter 137: loss 6.0568, time 115.20ms, mfu 0.81%
iter 138: loss 6.4205, time 117.53ms, mfu 0.80%
iter 139: loss 5.7378, time 115.84ms, mfu 0.80%
iter 140: loss 5.9821, time 116.18ms, mfu 0.80%
iter 141: loss 5.7468, time 112.27ms, mfu 0.80%
iter 142: loss 5.7901, time 116.02ms, mfu 0.80%
iter 143: loss 6.1745, time 115.02ms, mfu 0.80%
iter 144: loss 5.9051, time 112.08ms, mfu 0.80%
iter 145: loss 5.3912, time 109.82ms, mfu 0.81%
iter 146: loss 5.9982, time 109.61ms, mfu 0.81%
iter 147: loss 5.6299, time 115.46ms, mfu 0.81%
iter 148: loss 5.8380, time 116.46ms, mfu 0.81%
iter 149: loss 6.2870, time 114.64ms, mfu 0.80%
iter 150: loss 5.4103, time 115.61ms, mfu 0.80%
iter 151: loss 5.5393, time 110.63ms, mfu 0.81%
iter 152: loss 5.9833, time 112.88ms, mfu 0.81%
iter 153: loss 6.1963, time 108.74ms, mfu 0.81%
iter 154: loss 5.5321, time 115.40ms, mfu 0.81%
iter 155: loss 5.7013, time 109.32ms, mfu 0.81%
iter 156: loss 5.8234, time 116.32ms, mfu 0.81%
iter 157: loss 6.2099, time 115.56ms, mfu 0.81%
iter 158: loss 5.5006, time 117.22ms, mfu 0.81%
iter 159: loss 5.6107, time 113.36ms, mfu 0.81%
iter 160: loss 5.4069, time 108.77ms, mfu 0.81%
iter 161: loss 5.3792, time 111.57ms, mfu 0.81%
iter 162: loss 6.2794, time 112.53ms, mfu 0.81%
iter 163: loss 5.6627, time 113.25ms, mfu 0.81%
iter 164: loss 6.6768, time 112.17ms, mfu 0.81%
iter 165: loss 5.6033, time 117.95ms, mfu 0.81%
iter 166: loss 6.0017, time 114.80ms, mfu 0.81%
iter 167: loss 6.3975, time 114.92ms, mfu 0.81%
iter 168: loss 5.4922, time 111.21ms, mfu 0.81%
iter 169: loss 5.6713, time 113.69ms, mfu 0.81%
iter 170: loss 5.5403, time 113.14ms, mfu 0.81%
iter 171: loss 5.9075, time 116.63ms, mfu 0.81%
iter 172: loss 6.2028, time 115.03ms, mfu 0.81%
iter 173: loss 5.8736, time 112.69ms, mfu 0.81%
iter 174: loss 6.0120, time 116.42ms, mfu 0.80%
iter 175: loss 5.9603, time 111.29ms, mfu 0.81%
iter 176: loss 5.3410, time 113.27ms, mfu 0.81%
iter 177: loss 5.6355, time 111.95ms, mfu 0.81%
iter 178: loss 5.7082, time 116.59ms, mfu 0.81%
iter 179: loss 5.7038, time 114.19ms, mfu 0.81%
iter 180: loss 5.6570, time 116.04ms, mfu 0.80%
iter 181: loss 5.7501, time 115.92ms, mfu 0.80%
iter 182: loss 6.0031, time 108.19ms, mfu 0.81%
iter 183: loss 5.8150, time 113.13ms, mfu 0.81%
iter 184: loss 5.9215, time 110.39ms, mfu 0.81%
iter 185: loss 5.7435, time 115.24ms, mfu 0.81%
iter 186: loss 5.7568, time 116.57ms, mfu 0.81%
iter 187: loss 5.6465, time 114.07ms, mfu 0.81%
iter 188: loss 6.0762, time 116.39ms, mfu 0.80%
iter 189: loss 6.6026, time 114.99ms, mfu 0.80%
iter 190: loss 5.3751, time 112.48ms, mfu 0.80%
iter 191: loss 5.5676, time 116.88ms, mfu 0.80%
iter 192: loss 5.7554, time 115.09ms, mfu 0.80%
iter 193: loss 5.9587, time 116.25ms, mfu 0.80%
iter 194: loss 5.9970, time 115.93ms, mfu 0.80%
iter 195: loss 5.4502, time 116.82ms, mfu 0.80%
iter 196: loss 6.1913, time 110.29ms, mfu 0.80%
iter 197: loss 5.5935, time 113.69ms, mfu 0.80%
iter 198: loss 5.6005, time 116.41ms, mfu 0.80%
iter 199: loss 5.4452, time 115.44ms, mfu 0.80%
iter 200: loss 5.4826, time 116.15ms, mfu 0.80%
iter 201: loss 5.7056, time 115.01ms, mfu 0.80%
iter 202: loss 5.5109, time 112.22ms, mfu 0.80%
iter 203: loss 5.8327, time 109.86ms, mfu 0.80%
iter 204: loss 5.6815, time 112.39ms, mfu 0.81%
iter 205: loss 5.1231, time 115.89ms, mfu 0.80%
iter 206: loss 5.5639, time 115.82ms, mfu 0.80%
iter 207: loss 5.8209, time 109.66ms, mfu 0.81%
iter 208: loss 6.2686, time 116.20ms, mfu 0.80%
iter 209: loss 5.9672, time 115.52ms, mfu 0.80%
iter 210: loss 5.5508, time 110.32ms, mfu 0.81%
iter 211: loss 6.1437, time 110.13ms, mfu 0.81%
iter 212: loss 5.2864, time 110.86ms, mfu 0.81%
iter 213: loss 5.6890, time 114.93ms, mfu 0.81%
iter 214: loss 5.5087, time 114.85ms, mfu 0.81%
iter 215: loss 5.8407, time 114.90ms, mfu 0.81%
iter 216: loss 5.7416, time 111.37ms, mfu 0.81%
iter 217: loss 5.4407, time 115.97ms, mfu 0.81%
iter 218: loss 5.6595, time 115.45ms, mfu 0.81%
iter 219: loss 5.9532, time 108.88ms, mfu 0.81%
iter 220: loss 4.9865, time 111.17ms, mfu 0.81%
iter 221: loss 6.1113, time 110.73ms, mfu 0.81%
iter 222: loss 5.8686, time 114.49ms, mfu 0.81%
iter 223: loss 5.9555, time 115.68ms, mfu 0.81%
iter 224: loss 5.7117, time 116.32ms, mfu 0.81%
iter 225: loss 5.3141, time 115.40ms, mfu 0.81%
iter 226: loss 6.0006, time 116.25ms, mfu 0.80%
iter 227: loss 5.2669, time 115.74ms, mfu 0.80%
iter 228: loss 6.3323, time 113.07ms, mfu 0.80%
iter 229: loss 5.6374, time 113.06ms, mfu 0.80%
iter 230: loss 5.4472, time 115.65ms, mfu 0.80%
iter 231: loss 5.7582, time 116.37ms, mfu 0.80%
iter 232: loss 5.5485, time 111.59ms, mfu 0.80%
iter 233: loss 5.8372, time 110.02ms, mfu 0.81%
iter 234: loss 6.2779, time 109.47ms, mfu 0.81%
iter 235: loss 5.9805, time 115.73ms, mfu 0.81%
iter 236: loss 5.6798, time 116.09ms, mfu 0.81%
iter 237: loss 5.4521, time 110.82ms, mfu 0.81%
iter 238: loss 5.6746, time 110.75ms, mfu 0.81%
iter 239: loss 5.7259, time 112.82ms, mfu 0.81%
iter 240: loss 5.5750, time 114.58ms, mfu 0.81%
iter 241: loss 5.5421, time 115.68ms, mfu 0.81%
iter 242: loss 5.2026, time 115.08ms, mfu 0.81%
iter 243: loss 5.7960, time 112.57ms, mfu 0.81%
iter 244: loss 5.4003, time 117.07ms, mfu 0.81%
iter 245: loss 5.1899, time 111.36ms, mfu 0.81%
iter 246: loss 5.7388, time 110.58ms, mfu 0.81%
iter 247: loss 5.2887, time 112.91ms, mfu 0.81%
iter 248: loss 5.6146, time 118.68ms, mfu 0.81%
iter 249: loss 5.9783, time 110.30ms, mfu 0.81%
step 250: train loss 5.7002, val loss 5.3885
saving checkpoint to out
iter 250: loss 5.4885, time 1981.12ms, mfu 0.73%
iter 251: loss 6.0075, time 113.65ms, mfu 0.74%
iter 252: loss 5.7217, time 116.16ms, mfu 0.74%
iter 253: loss 5.6135, time 115.04ms, mfu 0.75%
iter 254: loss 6.0150, time 116.22ms, mfu 0.75%
iter 255: loss 5.5689, time 115.25ms, mfu 0.76%
iter 256: loss 5.7162, time 116.44ms, mfu 0.76%
iter 257: loss 5.3441, time 115.02ms, mfu 0.76%
iter 258: loss 5.3983, time 115.26ms, mfu 0.77%
iter 259: loss 5.8863, time 110.88ms, mfu 0.77%
iter 260: loss 5.4144, time 117.11ms, mfu 0.77%
iter 261: loss 5.0950, time 115.24ms, mfu 0.78%
iter 262: loss 5.7533, time 112.35ms, mfu 0.78%
iter 263: loss 5.4850, time 117.17ms, mfu 0.78%
iter 264: loss 5.7577, time 116.63ms, mfu 0.78%
iter 265: loss 5.3789, time 116.20ms, mfu 0.78%
iter 266: loss 5.3735, time 113.09ms, mfu 0.79%
iter 267: loss 5.3248, time 115.42ms, mfu 0.79%
iter 268: loss 5.3959, time 115.66ms, mfu 0.79%
iter 269: loss 5.6677, time 114.74ms, mfu 0.79%
iter 270: loss 5.7002, time 116.89ms, mfu 0.79%
iter 271: loss 5.7216, time 115.48ms, mfu 0.79%
iter 272: loss 5.6829, time 116.66ms, mfu 0.79%
iter 273: loss 5.3377, time 114.71ms, mfu 0.79%
iter 274: loss 5.0311, time 116.22ms, mfu 0.79%
iter 275: loss 5.6203, time 113.69ms, mfu 0.79%
iter 276: loss 5.4525, time 112.21ms, mfu 0.79%
iter 277: loss 5.2529, time 116.81ms, mfu 0.79%
iter 278: loss 5.3568, time 115.73ms, mfu 0.79%
iter 279: loss 6.1916, time 116.36ms, mfu 0.79%
iter 280: loss 5.2832, time 114.61ms, mfu 0.79%
iter 281: loss 5.0162, time 115.73ms, mfu 0.79%
iter 282: loss 5.8171, time 115.81ms, mfu 0.79%
iter 283: loss 4.9514, time 115.98ms, mfu 0.79%
iter 284: loss 5.1070, time 116.45ms, mfu 0.79%
iter 285: loss 5.4501, time 112.33ms, mfu 0.79%
iter 286: loss 5.3739, time 116.27ms, mfu 0.79%
iter 287: loss 5.4062, time 112.99ms, mfu 0.80%
iter 288: loss 5.7572, time 115.27ms, mfu 0.80%
iter 289: loss 5.2245, time 116.22ms, mfu 0.79%
iter 290: loss 4.8851, time 114.38ms, mfu 0.80%
iter 291: loss 5.2628, time 110.43ms, mfu 0.80%
iter 292: loss 5.3100, time 117.47ms, mfu 0.80%
iter 293: loss 5.6682, time 115.02ms, mfu 0.80%
iter 294: loss 5.3463, time 115.67ms, mfu 0.80%
iter 295: loss 5.2607, time 116.02ms, mfu 0.80%
iter 296: loss 5.0989, time 114.78ms, mfu 0.80%
iter 297: loss 5.2309, time 116.37ms, mfu 0.80%
iter 298: loss 5.0215, time 112.99ms, mfu 0.80%
iter 299: loss 5.7269, time 114.94ms, mfu 0.80%
iter 300: loss 5.4160, time 115.65ms, mfu 0.80%
iter 301: loss 5.3753, time 116.10ms, mfu 0.80%
iter 302: loss 5.3387, time 117.84ms, mfu 0.79%
iter 303: loss 5.3928, time 114.00ms, mfu 0.80%
iter 304: loss 5.3659, time 116.03ms, mfu 0.79%
iter 305: loss 5.3679, time 114.71ms, mfu 0.80%
iter 306: loss 5.6244, time 115.70ms, mfu 0.80%
iter 307: loss 5.7536, time 114.44ms, mfu 0.80%
iter 308: loss 5.6340, time 117.13ms, mfu 0.79%
iter 309: loss 5.5545, time 115.55ms, mfu 0.79%
iter 310: loss 5.9199, time 115.52ms, mfu 0.79%
iter 311: loss 5.6233, time 117.27ms, mfu 0.79%
iter 312: loss 5.5314, time 117.54ms, mfu 0.79%
iter 313: loss 5.3671, time 115.61ms, mfu 0.79%
iter 314: loss 5.8982, time 116.76ms, mfu 0.79%
iter 315: loss 5.6063, time 115.56ms, mfu 0.79%
iter 316: loss 5.1227, time 116.52ms, mfu 0.79%
iter 317: loss 5.5766, time 111.62ms, mfu 0.79%
iter 318: loss 5.3284, time 113.59ms, mfu 0.80%
iter 319: loss 5.2639, time 115.96ms, mfu 0.79%
iter 320: loss 5.2826, time 115.81ms, mfu 0.79%
iter 321: loss 5.6971, time 117.75ms, mfu 0.79%
iter 322: loss 5.6041, time 113.11ms, mfu 0.79%
iter 323: loss 5.4975, time 115.42ms, mfu 0.79%
iter 324: loss 5.3397, time 116.19ms, mfu 0.79%
iter 325: loss 5.3763, time 116.00ms, mfu 0.79%
iter 326: loss 5.6017, time 116.34ms, mfu 0.79%
iter 327: loss 5.3927, time 115.55ms, mfu 0.79%
iter 328: loss 5.0779, time 113.52ms, mfu 0.79%
iter 329: loss 5.2502, time 113.74ms, mfu 0.80%
iter 330: loss 5.1404, time 115.51ms, mfu 0.80%
iter 331: loss 5.6287, time 117.07ms, mfu 0.79%
iter 332: loss 5.9047, time 115.31ms, mfu 0.79%
iter 333: loss 5.6013, time 117.45ms, mfu 0.79%
iter 334: loss 5.6940, time 114.98ms, mfu 0.79%
iter 335: loss 5.5874, time 117.10ms, mfu 0.79%
iter 336: loss 5.8901, time 115.32ms, mfu 0.79%
iter 337: loss 5.5860, time 117.39ms, mfu 0.79%
iter 338: loss 5.2982, time 114.59ms, mfu 0.79%
iter 339: loss 5.3285, time 117.65ms, mfu 0.79%
iter 340: loss 5.5453, time 115.60ms, mfu 0.79%
iter 341: loss 5.4140, time 116.48ms, mfu 0.79%
iter 342: loss 5.8207, time 112.55ms, mfu 0.79%
iter 343: loss 5.7311, time 110.22ms, mfu 0.80%
iter 344: loss 5.5872, time 113.77ms, mfu 0.80%
iter 345: loss 5.9172, time 117.31ms, mfu 0.80%
iter 346: loss 5.3324, time 115.39ms, mfu 0.80%
iter 347: loss 5.2406, time 117.17ms, mfu 0.79%
iter 348: loss 4.8181, time 116.99ms, mfu 0.79%
iter 349: loss 5.5671, time 115.69ms, mfu 0.79%
iter 350: loss 5.6720, time 116.17ms, mfu 0.79%
iter 351: loss 5.9583, time 110.97ms, mfu 0.80%
iter 352: loss 5.4063, time 113.71ms, mfu 0.80%
iter 353: loss 5.4182, time 115.46ms, mfu 0.80%
iter 354: loss 5.8341, time 112.37ms, mfu 0.80%
iter 355: loss 5.0362, time 116.53ms, mfu 0.80%
iter 356: loss 5.5525, time 116.19ms, mfu 0.80%
iter 357: loss 5.0901, time 115.66ms, mfu 0.80%
iter 358: loss 5.5804, time 114.59ms, mfu 0.80%
iter 359: loss 5.3472, time 114.94ms, mfu 0.80%
iter 360: loss 5.7030, time 113.77ms, mfu 0.80%
iter 361: loss 5.5875, time 111.60ms, mfu 0.80%
iter 362: loss 5.2317, time 116.08ms, mfu 0.80%
iter 363: loss 4.8850, time 113.13ms, mfu 0.80%
iter 364: loss 5.0495, time 112.58ms, mfu 0.80%
iter 365: loss 5.2362, time 115.71ms, mfu 0.80%
iter 366: loss 5.0141, time 116.11ms, mfu 0.80%
iter 367: loss 6.1241, time 115.26ms, mfu 0.80%
iter 368: loss 4.8879, time 115.45ms, mfu 0.80%
iter 369: loss 5.8897, time 114.78ms, mfu 0.80%
iter 370: loss 5.6395, time 115.32ms, mfu 0.80%
iter 371: loss 5.6111, time 115.34ms, mfu 0.80%
iter 372: loss 5.6428, time 111.87ms, mfu 0.80%
iter 373: loss 4.9931, time 116.14ms, mfu 0.80%
iter 374: loss 4.9700, time 116.33ms, mfu 0.80%
iter 375: loss 5.2814, time 114.25ms, mfu 0.80%
iter 376: loss 4.7724, time 117.15ms, mfu 0.80%
iter 377: loss 5.9588, time 117.16ms, mfu 0.80%
iter 378: loss 5.7299, time 115.70ms, mfu 0.80%
iter 379: loss 5.4822, time 114.78ms, mfu 0.80%
iter 380: loss 5.7735, time 116.81ms, mfu 0.79%
iter 381: loss 5.3945, time 115.36ms, mfu 0.79%
iter 382: loss 5.7651, time 116.85ms, mfu 0.79%
iter 383: loss 5.4758, time 114.84ms, mfu 0.79%
iter 384: loss 5.1942, time 115.88ms, mfu 0.79%
iter 385: loss 5.7176, time 114.99ms, mfu 0.79%
iter 386: loss 5.5974, time 115.17ms, mfu 0.79%
iter 387: loss 4.8546, time 115.13ms, mfu 0.79%
iter 388: loss 4.8391, time 118.93ms, mfu 0.79%
iter 389: loss 5.1798, time 113.56ms, mfu 0.79%
iter 390: loss 5.5463, time 110.20ms, mfu 0.80%
iter 391: loss 5.8674, time 112.90ms, mfu 0.80%
iter 392: loss 6.1976, time 116.53ms, mfu 0.80%
iter 393: loss 4.7095, time 115.65ms, mfu 0.80%
iter 394: loss 5.9019, time 116.19ms, mfu 0.80%
iter 395: loss 5.4433, time 113.25ms, mfu 0.80%
iter 396: loss 5.3300, time 114.62ms, mfu 0.80%
iter 397: loss 5.4977, time 116.89ms, mfu 0.80%
iter 398: loss 5.3472, time 111.47ms, mfu 0.80%
iter 399: loss 5.2176, time 113.80ms, mfu 0.80%
iter 400: loss 5.5140, time 116.52ms, mfu 0.80%
iter 401: loss 5.0678, time 115.22ms, mfu 0.80%
iter 402: loss 5.4671, time 116.24ms, mfu 0.80%
iter 403: loss 5.3826, time 115.23ms, mfu 0.80%
iter 404: loss 5.5543, time 112.70ms, mfu 0.80%
iter 405: loss 5.6674, time 115.05ms, mfu 0.80%
iter 406: loss 5.1974, time 116.35ms, mfu 0.80%
iter 407: loss 5.6564, time 115.88ms, mfu 0.80%
iter 408: loss 5.9004, time 116.02ms, mfu 0.80%
iter 409: loss 5.2127, time 114.63ms, mfu 0.80%
iter 410: loss 5.9320, time 116.55ms, mfu 0.80%
iter 411: loss 5.6629, time 114.28ms, mfu 0.80%
